Amharic,English
መ ሆ ን,to be
እና,and
ወደ,to
የ,of
ሀ,a
እኔ,I
ውስጥ,in
መያዝ,to have
ያንን,that
እሱ,he
አይደለም,not
የእሱ,his
እሷ,her
እሱ,it
አንቺ,you
ከ,with
ለ,for
ለመስራት,to do
እሷ,she
እንደ,as
በ,on
ማለት,to say
በ,at
እሱ,him
ከ,from
ግን,but
እኔ,me
የእኔ,my
ለመሄድ,to go
እነሱ,they
ሁሉም,all
በ,by
ይህ,this
አንድ,one
ውጪ,out
ወደላይ,up
ማወቅ,to know
ስለዚህ,so
ሀ,an
ለማየት,to see
ሊሆን ይችላል,could
ወይም,or
እነሱ,them
ማግኘት,to get
እኛ,we
እንደ,like
ለመምጣት,to come
ሰው,man
ምንድን,what
መስራት,to make
እዛ ላይ,there
ስለ,about
የት,which
የእነሱ,their
ውስጥ,into
ማሰብ,to think
ለማየት,to look
ከሆነ,if
ማን,who
መቼ,when
መውሰድ,to take
ጊዜ,time
አይ,no
ጀርባ,back
ሊሆን ይችላል,to can
ፈቃድ,to will
የእርስዎ,your
ተጨማሪ,more
ከዚያ,then
ታች,down
ጥሩ,good
በላይ,over
መንገር,to tell
አሁን,now
እጅ,hand
አንዳንድ,some
መፈለግ,to want
እሺ,just
ብቻ,only
ከ,than
መንገድ,way
መስጠት,to give
ሌላ,other
ቀን,day
ዓይን,eye
ከዚህ በፊት,before
መጠየቅ,to ask
ማግኘት,to find
ሁለት,two
ትንሽ,little
ረጅም,long
በጣም,very
ስሜት,to feel
ማንኛውም,any
ነገር,thing
እንዲሁ,too
እዚህ,here
በጭራሽ,never
መልቀቅ,to leave
ግለሰብ,person
አሮጌ,old
ራስ,head
ለመታጠፍ,to turn
በድጋሚ,again
በ,through
እንኳን,even
ፊት,face
ብዙ,much
ጠፍቷል,off
እኛ,us
አንደኛ,first
ቀኝ,right
የእኛ,our
እንዴት,how
የት,where
በኋላ,after
የ,its
ሴት,woman
ራቅ ብሎ,away
ሕይወት,life
ለመምሰል,to seem
መጥራት,to call
አሁንም,still
መስማት,to hear
አመት,year
ባለቤት,own
መሥራት,to work
ቢቻል,should
ቦታ,place
ክፍል,room
መልካም,well
ለመቆም,to stand
ማድረግ ያለባቸው,to must
ራሱ,himself
አካባቢ,around
በር,door
ሊሆን ይችላል,to might
አንድ ነገር,something
ለመሞከር,to try
ማፍቀር,to love
ቤት,house
ለሊት,night
ማስቀመጥ,to put
ተለክ,great
እንደዚህ,such
መጠበቅ,to keep
ለመቀመጥ,to sit
መጨረሻ,last
ለመጀመር,to begin
ምክንያቱም,because
እነዚያ,those
እነዚህ,these
ቃል,word
ለመጠቀም,to use
ከ …. ፍላጎት,to need
ለመክፈት,to open
ለማቆየት,to hold
ሌላ,another
ገና,while
ብዙ,most
መናገር,to talk
መፍቀድ,to let
በ,upon
ሩቅ,far
ያለ,without
ቤት,home
ፈገግታ,to smile
ሁልጊዜ,always
ድምጽ,voice
ልጅ,child
አባት,father
ለመራመድ,to walk
ወጣት,young
ለማለት,to mean
መነም,nothing
መሮጥ,to run
ቢሆንም,though
አፍታ,moment
ላይ,against
እናት,mother
ተመሳሳይ,same
ስም,name
መናገር,to speak
ብዙ,many
አእምሮ,mind
ጥቂት,few
ለማምጣት,to bring
ብርሀን,light
መዝጋት,to close
ጎን,side
