english,french
I,je
of,de
East,est
not,pas
THE,le
YOU,vous
there,la
you,tu
that,que
A,un
he,il
And,et
has,à
has,a
born,ne
THE,les
This,ce
in,en
we,on
That,ça
a,une
have,ai
For,pour
of the,des
Me,moi
Who,qui
We,nous
y,y
but,mais
me,me
In,dans
of,du
GOOD,bien
She,elle
if,si
All,tout
more,plus
No,non
My,mon
am,suis
you,te
At,au
with,avec
go,va
Yes,oui
You,toi
do,fait
they,ils
ace,as
be,être
TO DO,faire
se,se
as,comme
was,était
on,sur
What,quoi
here,ici
know,sais
him,lui
want,veux
my,ma
there,là
Nothing,rien
said,dit
are,es
Or,où
your,votre
Why,pourquoi
are,sont
this,cette
When,quand
by,par
her,son
your,ton
can,peux
go,vais
say,dire
SO,alors
how,comment
have,avez
Good,bon
Or,ou
very,très
THANKS,merci
have,ont
even,même
Never,jamais
Also,aussi
see,voir
thing,chose
Go on,allez
all,tous
two,deux
these,ces
must,faut
her,sa
are,êtes
summer,été
your,ta
do ,fais
to have,avoir
can,peut
other,autre
m,m
Again,encore
NOW,maintenant
little,peu
my,mes
Really,vraiment
time,temps
OUR,notre
always,toujours
life,vie
without,sans
just,juste
Oh,oh
had,avait
agreement,accord
seen,vu
world,monde
some,quelque
times,fois
go,aller
too much,trop
come,viens
believe,crois
God,dieu
have to,dois
man,homme
father,père
on,sûr
to,aux
their,leur
Before,avant
was,étais
need,besoin
women,femme
love,aime
person,personne
had,avais
at the house of,chez
TRUE,vrai
years,ans
wrong,mal
his,ses
talk,parler
your,vos
After,après
dead,mort
wanna,veut
had,eu
will be,sera
Good,bonne
because,parce
better,mieux
little,petit
There,voilà
your ,tes
That,ca
say,dis
a lot,beaucoup
Since,depuis
must,doit
see ,vois
mother,mère
go,vas
Sir,monsieur
what,quel
Already,déjà
girl,fille
people,gens
SO,donc
day,jour
evening,soir
others,autres
all,toute
Good morning,bonjour
House,maison
name,nom
money,argent
our,nos
Yeah,ouais
think,pense
shit,merde
night,nuit
dad,papa
that,cela
Hi,salut
this,cet
have,avons
stay,reste
Sorry,désolé
Mom,maman
fear,peur
arrived,arrive
alone,seul
quickly,vite
take,prendre
look at,regarde
air,air
either,soit
three,trois
what,quelle
pass,passé
know,savoir
please,plaît
things,choses
less,moins
son,fils
between,entre
down,bas
calls,appelle
pass,passe
oh,ah
head,tête
tomorrow,demain
big,grand
stopped,arrête
do,faites
want,voulez
Hey,hé
hold on,attends
eh,hein
children,enfants
enough,assez
reason,raison
would have,aurais
wanted,voulais
they,elles
speak,parle
OK,ok
days,jours
of,dû
moment,moment
hour,heure
Then,puis
guys,gars
men,hommes
love,amour
late,tard
all,toutes
are,sommes
kill,tuer
eh,eh
friend,ami
know,connais
small,petite
help,aider
chance,chance
know,savez
leave,partir
knows,sait
How much,combien
car,voiture
so much,tant
taken,pris
go,part
issue,problème
take,prends
door,porte
cut,coup
would be,serait
come,venir
family,famille
work,travail
could,pu
alone,seule
sense,sens
neither,ni
let's go,allons
goodbye,revoir
idea,idée
whore,putain
pass,passer
against,contre
understand,comprends
heard,entendu
find,trouvé
find,trouver
old,vieux
come,vient
during,pendant
would have,aurait
a few,quelques
attention,attention
request,demande
seek,chercher
below,sous
here is,voici
could,pourrait
blood,sang
can,pouvez
to go out,sortir
question,question
history,histoire
friends,amis
come,venez
brother,frère
stay,rester
finished,fini
city,ville
new,nouveau
thing,truc
hold,tiens
month,mois
them,eux
dude,mec
eyes,yeux
leave alone,laisse
great,super
beautiful,belle
a long time,longtemps
police,police
water,eau
hours,heures
because,car
imported,importe
case,cas
are going,vont
each,chaque
earth,terre
place,place
kill,tué
kind,type
hand,main
pardon,pardon
together,ensemble
only,seulement
war,guerre
beautiful,beau
towards,vers
pray,prie
in front,devant
find,trouve
part,partie
following,suite
Understood,compris
Morning,matin
their,leurs
none,aucun
arrived,arrivé
above,dessus
Dear,chérie
put,mettre
help,aide
were,étaient
lost,perdu
END,fin
be,sois
first,premier
gender,genre
would like to,aimerais
right,droit
given,donne
wait,attendez
young,jeune
fire,feu
should,devrais
child,enfant
bedroom,chambre
fat,gros
side,côté
came,venu
far,loin
to leave ,laisser
give,donner
play,jouer
knew,savais
account,compte
s,s
speak,parlé
minutes,minutes
look,regardez
train,train
first,première
power,pouvoir
will have,aura
die,mourir
last,dernière
given,donné
husband,mari
listen,écoute
Finally,enfin
should,devrait
put,mis
movie,film
none,aucune
strong,fort
way,façon
country,pays
ready,prêt
Mrs,madame
women,femmes
affair,affaire
